minutes_since_start,catering_a,catering_b,catering_c,catering_d,catering_e,men_1,women_1,men_2,women_2
68,0,1.833333333,2.833333333,2.666666667,0,0,4.223333333,0,4.21
69,0,1.5,2.5,2,0,0,3.223333333,0,3.21
70,0,0.833333333,2,1.666666667,0,0,2.223333333,0,2.21
71,0,0.833333333,1.333333333,1.5,0,0,1.643333333,0,1.233333333
72,0,0.833333333,1,1.166666667,0,0,2.068333333,0,1.208333333
73,0,0.166666667,0.5,0.666666667,0,0,1.298333333,0,0.238333333
74,0,0.333333333,0.333333333,0.666666667,0,0,1.715,0,0.655
75,0,0.5,0.666666667,0.833333333,0,0,1.981666667,0,1.255
76,0,0,0.5,1,0,0,1.611666667,0,0.315
77,0,0,0.333333333,0.833333333,0,0,0.936666667,0,0
78,0,0,0.166666667,0.166666667,0,0,0.263333333,0,0
79,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
104,0,0.333333333,0.166666667,0,0,0,0,0,0
105,0.166666667,0.666666667,0.666666667,0.5,0.516666667,0,2.791666667,0.2,0.668333333
106,0.5,1.333333333,1.666666667,1,1.383333333,0.333333333,4.405,1.333333333,0.041666667
107,2,3.333333333,3.333333333,2.833333333,1.883333333,0.666666667,6.255,1.933333333,2.041666667
108,1.833333333,3.5,3.833333333,3,1.3,1,5.338333333,1.2,1.583333333
109,1.5,3.333333333,4.166666667,3,1.033333333,1,5.658333333,0.5,2.123333333
110,1,3.5,4.166666667,2.5,0.333333333,0.8,5.108333333,0,1.753333333
111,0.166666667,3.333333333,4,2,0,0,4.148333333,0,0.803333333
112,0,3.333333333,3.833333333,1.666666667,0,0,3.668333333,0,0.803333333
113,0,2.333333333,3.5,0.833333333,0,0,2.668333333,0,0
114,0,2,2.666666667,0.166666667,0,0,1.668333333,0,0
115,0,1.333333333,2,0,0,0,0.668333333,0,0
116,0,0.333333333,1.333333333,0,0,0,0,0,0
117,0,0,0.666666667,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
